 71	Lu	Lutetium     	174.9670	1.993981646768e-01	1.478e2	 0.0
 72	Hf	Hafnium      	178.4900	2.508178207736e-01	1.093e2	 0.0
 73	Ta	Tantalum     	180.9480	2.774427070245e-01	8.840e1	 0.0
 74	W 	Tungsten     	183.8400	2.889966949296e-01	7.491e1	 0.0
 75	Re	Rhenium      	186.2070	2.878758405049e-01	6.546e1	 0.0
 76	Os	Osmium       	190.2300	3.100981575731e-01	5.736e1	 0.0
 77	Ir	Iridium      	192.2170	3.295312008435e-01	5.129e1	 0.0
 78	Pt	Platinum     	195.0780	3.292261814427e-01	4.386e1	 0.0
 79	Au	Gold         	196.9670	3.390309014589e-01	3.914e1	 0.0
 80	Hg	Mercury      	200.5900	3.835710838412e-01	3.388e1	 0.0
 81	Tl	Thallium     	204.3830	2.244722293958e-01	5.129e1	 0.0
 82	Pb	Lead         	207.2000	2.725587216791e-01	4.589e1	 0.0
 83	Bi	Bismuth      	208.9800	2.677408851194e-01	4.994e1	 0.0
 84	Po	Polonium     	209.0000	3.093190718746e-01	4.589e1	 0.0
 85	At	Astatine     	210.0000	3.417687262010e-01	4.049e1	 0.0
 86	Rn	Radon        	222.0000	3.950001240400e-01	3.577e1	 0.0
 87	Fr	Francium     	223.0000	1.496689775483e-01	3.280e2	 0.0
 88	Ra	Radium       	226.0000	1.939776391806e-01	2.585e2	 0.0
 89	Ac	Actinium     	227.0000	1.899940123075e-01	2.166e2	 0.0
 90	Th	Thorium      	232.0380	2.317669704873e-01	2.166e2	 0.0
 91	Pa	Protactinium 	231.0360	2.164535265940e-01	1.714e2	 0.0
 92	U 	Uranium      	238.0290	2.276289964475e-01	1.680e2	 0.0
 93	Np	Neptunium    	237.0000	2.302602481460e-01	1.674e2	 0.0
 94	Pu	Plutonium    	244.0000	2.214587847132e-01	1.653e2	 0.0
 95	Am	Americium    	243.0000	2.195331200623e-01	1.572e2	 0.0
 96	Cm	Curium       	247.0000	2.201835831219e-01	1.552e2	 0.0
 97	Bk	Berkelium    	247.0000	2.277686438840e-01	1.532e2	 0.0
 98	Cf	Californium  	251.0000	2.308482373524e-01	1.383e2	 0.0
 99	Es	Einsteinium  	252.0000	2.359306690549e-01	1.329e2	 0.0
100	Fm	Fermium      	257.0000	2.388706150868e-01	1.606e2	 0.0
101	Md	Mendelevium  	258.0000	2.418105611186e-01	1.228e2	 0.0
102	No	Nobelium     	259.0000	2.443830138964e-01	1.181e2	 0.0
103	Lr	Lawrencium   	262.0000	1.800716944500e-01	0.000	 0.0
104	Rf	Rutherfordium	261.0000	1.469973015918e-01	0.000	 0.0
105	Db	Dubnium      	262.0000	1.837466269898e-01	0.000	 0.0
106	Sg	Seaborgium   	266.0000	2.204959523878e-01	0.000	 0.0
107	Bh	Bohrium      	264.0000	2.572452777857e-01	0.000	 0.0
108	Hs	Hassium      	277.0000	2.939946031837e-01	0.000	 0.0
109	Mt	Meitnerium   	268.0000	3.307439285817e-01	0.000	 0.0
